"illuminance","blinds","lamps","rh","co2","temp","occupancy"
183.5,100,100,40.86999893,481.8469849,23.15999985,1
187.5,100,100,40.86999893,481.8469849,23.15999985,1
187.5,100,100,40.86999893,474.4089966,23.15999985,1
194.5,100,100,40.86999893,474.4089966,23.15999985,1
188.5,100,100,40.86999893,474.4089966,23.15999985,1
201,100,100,40.86999893,464.6029968,23.15999985,1
201,100,100,40.86999893,464.6029968,23.42000008,1
209,100,100,40.86999893,472.0409851,23.42000008,1
209,100,100,40.75,472.0409851,23.42000008,1
214.5,100,100,40.75,476.8259888,23.42000008,1
226.5,100,100,40.75,476.8259888,23.42000008,1
238,100,100,40.75,476.8259888,23.42000008,1
238,100,100,40.75,474.598999,23.42000008,1
238,100,100,40.75,474.598999,23.42000008,-1
238,100,100,39.47000122,474.598999,23.93000031,-1
249,100,100,39.47000122,474.598999,23.93000031,-1
249,100,100,39.47000122,461.2630005,23.93000031,-1
249,100,100,39.47000122,435.9410095,23.93000031,-1
262,100,100,39.47000122,435.9410095,23.93000031,-1
262,100,100,39.47000122,423.6229858,23.93000031,-1
266.5,100,100,39.47000122,423.6229858,23.93000031,-1
296,100,100,39.47000122,423.6229858,23.93000031,1
296,100,100,39.47000122,421.2550049,23.93000031,1
311,100,100,39.47000122,421.2550049,23.93000031,1
311,100,100,39.47000122,440.4890137,23.93000031,1
311,100,100,39.47000122,440.4890137,23.93000031,-1
322,100,100,39.47000122,440.4890137,23.93000031,1
